certificate_id,nama,nim,prodi,angkatan,kegiatan,tanggal
CERT-0001,Siti Setiawan,672023063,Informatika,2023,Bootcamp Fullstack Developer,2026-02-05
CERT-0002,Aditya Santoso,712021152,Pendidikan Informatika,2021,Workshop Data Analytics,2026-01-09
CERT-0003,Budi Kusuma,682022130,Sistem Informasi,2022,Digital Marketing Masterclass,2026-01-07
CERT-0004,Mega Siregar,712024057,Pendidikan Informatika,2024,DevOps Essential Training,2026-05-31
CERT-0005,Suryo Fauzi,682024088,Sistem Informasi,2024,Seminar Cloud Computing,2026-02-09
CERT-0006,Nugroho Lestari,672021098,Informatika,2021,Workshop Machine Learning,2026-04-02
CERT-0007,Irfan Putri,712023207,Pendidikan Informatika,2023,Pelatihan Blockchain,2026-04-28
CERT-0008,Lestari Setiawan,702021142,Teknik Komputer,2021,Seminar Cloud Computing,2026-06-10
CERT-0009,Rina Rahmawati,712022181,Pendidikan Informatika,2022,Workshop Machine Learning,2026-01-12
CERT-0010,Utami Sitorus,692021219,Teknologi Informasi,2021,Bootcamp Fullstack Developer,2026-01-26
CERT-0011,Bunga Pohan,702023042,Teknik Komputer,2023,Pelatihan UI/UX Design,2026-04-01
CERT-0012,Nugroho Pohan,672022137,Informatika,2022,Bootcamp Fullstack Developer,2026-02-11
CERT-0013,Gita Wulandari,692022176,Teknologi Informasi,2022,Pelatihan UI/UX Design,2026-01-15
CERT-0014,Oki Wibowo,692024069,Teknologi Informasi,2024,Workshop Machine Learning,2026-02-24
CERT-0015,Reza Mulyadi,692022168,Teknologi Informasi,2022,DevOps Essential Training,2026-04-12
CERT-0016,Maulana Ningsih,682023036,Sistem Informasi,2023,Bootcamp Fullstack Developer,2026-05-24
CERT-0017,Lestari Pasaribu,712024230,Pendidikan Informatika,2024,Digital Marketing Masterclass,2026-04-13
CERT-0018,Anisa Sitorus,682024024,Sistem Informasi,2024,Pelatihan Blockchain,2026-01-29
CERT-0019,Joko Utama,702021099,Teknik Komputer,2021,Workshop Data Analytics,2026-06-02
CERT-0020,Gita Suhendra,692021175,Teknologi Informasi,2021,Workshop Machine Learning,2026-05-18
CERT-0021,Amir Pohan,692021076,Teknologi Informasi,2021,Workshop Data Analytics,2026-02-10
CERT-0022,Gita Fauzi,692022130,Teknologi Informasi,2022,Workshop Machine Learning,2026-06-10
CERT-0023,Utomo Budiman,712022040,Pendidikan Informatika,2022,Pelatihan UI/UX Design,2026-02-11
CERT-0024,Lestari Suhendra,672023126,Informatika,2023,Pelatihan Blockchain,2026-01-29
CERT-0025,Rifqi Rahmawati,692022015,Teknologi Informasi,2022,Bootcamp Fullstack Developer,2026-05-26
CERT-0026,Fahmi Kusuma,702021195,Teknik Komputer,2021,Mobile Apps Development Hackathon,2026-02-02
CERT-0027,Indra Subagyo,712022068,Pendidikan Informatika,2022,Mobile Apps Development Hackathon,2026-06-05
CERT-0028,Eka Nasution,712022183,Pendidikan Informatika,2022,Seminar Cloud Computing,2026-04-13
CERT-0029,Utami Rahmawati,702024031,Teknik Komputer,2024,Bootcamp Fullstack Developer,2026-02-27
CERT-0030,Eko Lestari,672022151,Informatika,2022,Bootcamp Fullstack Developer,2026-01-02
